SCHCD,acyear,Working_Days_Primary,Working_Days_UPrimary,Schoool_Hours_Children_Pri,School_Hours_Children_UPri,School_Hours_Tch_P,School_Hours_Tch_UPR,Approachable_by_All_Weather_Road,CCE_implemented,People_Cumilativere_Record_Maintained,PCR_Shared_with_Parents,Children_from_Weaker_Section_Applied,Children_from_Weaker_Section_Enrolled,Aid_Received,Chilren_Admitted_for_Free_Education,SMC_Constituted,SMC_Members_Male,SMC_Members_Female,SMC_Members_Parents_Male,SMC_Members_PArents_Female,SMC_Members_Local_Authority_Male,SMC_Members_Local_Authority_Female,SMC_Meetings_Held,School_Developmentplan_Prepared,SMC_Children_Record_Maintained,Chld_Enrolled_for_Sp_Training_Current_Year_B,Chld_Enrolled_for_Sp_Training_Current_Year_G,Spl_Training_Provided_Current_Year_B,Spl_Training_Provided_Current_Year_G,Spl_Training_Enrolled_Previous_Year_B,Spl_Training_Enrolled_Previous_Year_G,Spl_training_Provided_Previous_Year_B,Spl_Training_Provided_Previous_Year_G,Spl_Training_Conducted_by,Spl_Training_Place,spl_Training_Type,Tch_or_EVS_for_spl_training,Spl_Training_Material,Textbook_Received,Text_Book_Received_Month,Text_Book_Received_Year,Academic_Session_Start_in,MDM_Status,Kitchenshed_Status,MDM_Source,Days_Meals_Served,Meals_Served_Prev_Yr,Students_Opted_MDM_B,Stdents_Opted_MDM_G,Kitchen_Devaices_Grant,Cook_M,Cook_F,Inspections_by_SO,Inspections_by_CM
7010107203,2012-13,0,220,0,6,0,6,1,1,1,1,0,0,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,4,2012,4,3,2,2,0,80425,0,564,0,0,0,1,12
7010300302,2012-13,201,201,6,6,6,6,1,1,1,1,0,0,0,0,1,14,4,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,2,,,4,0,2,0,0,39740,149,56,0,0,0,1,1
7010300304,2012-13,218,218,6,6,6,6,1,1,1,1,16,16,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2,,,4,0,2,2,0,0,0,0,0,0,0,0,0
7010300407,2012-13,230,230,6,6,6,7,1,1,1,1,6,6,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2,,,4,0,2,2,0,0,0,0,0,0,0,0,0
7010301801,2012-13,218,221,7,6,7,7,1,1,1,1,2,2,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2,,,4,0,2,2,0,0,0,0,0,0,0,0,0
7010301803,2012-13,233,233,7,6,7,7,1,2,0,0,0,0,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2,,,4,0,2,0,0,0,0,0,0,0,0,0,0
7010302103,2012-13,220,220,6,6,6,6,1,1,1,1,0,19,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,4,2012,4,0,2,0,0,0,0,0,0,0,0,0,0
7010106204,2012-13,0,220,0,6,0,6,1,1,1,1,0,0,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,8,2012,4,3,2,2,0,22538,158,0,0,0,0,0,11
7010106706,2012-13,0,220,0,6,0,7,1,1,1,1,0,0,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,4,2012,4,3,2,2,0,67100,305,0,0,0,0,5,6
7010201801,2012-13,0,238,0,6,0,6,1,1,1,1,0,0,0,0,2,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2,,,4,3,2,2,0,187,674,0,0,0,0,2,2
7010300310,2012-13,221,221,7,6,7,7,1,1,1,1,0,0,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2,,,4,0,2,0,0,0,0,0,0,0,0,0,0
7010300403,2012-13,222,222,5,5,5,5,1,1,1,1,13,13,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2,,,4,0,2,2,0,0,0,0,0,0,0,0,0
7010300405,2012-13,227,227,5,6,5,6,1,1,1,1,2,15,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,4,2012,4,0,2,2,0,0,0,0,0,0,0,0,0
7010300501,2012-13,228,228,5,5,5,5,1,2,0,0,32,8,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2,,,4,0,2,2,0,0,0,0,0,0,0,0,0
7010301202,2012-13,208,211,6,6,6,6,1,1,1,1,8,3,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2,,,4,0,2,2,0,0,0,0,0,0,0,0,0
7010301402,2012-13,210,211,7,6,7,7,1,1,1,1,12,12,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2,,,4,0,2,0,0,0,0,0,0,0,0,0,0
7010301702,2012-13,220,220,6,6,6,6,1,1,1,1,0,0,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2,,,4,0,2,2,0,0,0,0,0,0,0,0,0
7010302112,2012-13,210,210,7,6,7,7,1,1,1,1,3,3,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2,,,4,0,2,0,0,0,0,0,0,0,0,0,0
7010302113,2012-13,194,194,7,6,7,7,1,2,0,0,36,32,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,4,2012,4,0,2,2,0,0,0,0,0,0,0,0,0
7010302303,2012-13,213,248,6,6,6,6,1,1,1,1,10,10,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2,,,4,0,2,0,0,0,0,0,0,0,0,0,0
7010302305,2012-13,216,220,7,7,7,7,1,1,1,1,6,6,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,4,2012,4,0,2,0,0,0,0,0,0,0,0,0,0
7010302309,2012-13,218,218,6,6,6,6,1,1,1,1,3,3,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2,,,4,0,2,2,0,0,0,0,0,0,0,0,0
7010302310,2012-13,214,214,6,6,6,6,1,1,1,1,0,0,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2,,,4,0,2,2,0,0,0,0,0,0,0,0,0
7010302312,2012-13,220,220,6,6,6,7,1,1,1,1,1,1,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2,,,4,0,2,2,0,0,0,0,0,0,0,0,0
7010302504,2012-13,230,230,6,6,6,6,1,1,1,1,0,0,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2,,,4,0,2,2,0,0,0,0,0,0,0,0,0
7010100103,2012-13,0,222,0,6,0,6,1,1,1,1,0,0,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,7,2012,4,3,2,2,0,51600,174,84,0,0,0,2,4
7010100108,2012-13,220,220,6,6,6,6,1,1,1,1,0,0,,,0,,,,,,,,0,0,0,8,0,8,0,14,0,14,1,2,1,2,2,1,4,2012,4,3,2,2,0,299364,157,1325,0,0,0,4,4
7010100402,2012-13,220,220,6,5,6,6,1,1,1,1,0,0,,,0,,,,,,,,0,0,9,13,9,13,3,10,3,10,1,2,1,2,2,1,7,2012,4,3,2,2,0,162953,154,925,0,0,0,0,6
7010100405,2012-13,218,218,6,6,6,6,1,1,1,1,0,0,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,4,2012,4,3,2,2,0,137309,484,450,0,0,0,6,12
7010101101,2012-13,0,221,0,6,0,6,1,1,1,1,0,0,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,7,2012,4,3,2,2,0,74586,7968,0,0,0,0,0,1
7010101201,2012-13,215,220,6,6,6,6,1,1,1,1,0,0,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,4,2012,4,3,2,2,0,42347,45,340,0,0,0,4,2
7010101202,2012-13,220,220,6,6,6,6,1,1,1,1,0,0,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,4,2012,4,3,2,2,0,200242,327,1018,0,0,0,6,4
7010102203,2012-13,221,221,6,6,6,6,1,1,1,1,0,0,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,4,2012,4,3,2,2,0,331110,388,1871,0,0,0,5,203
7010102204,2012-13,0,219,0,6,0,6,1,1,1,1,0,0,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,4,2012,4,3,2,2,0,123920,935,0,0,0,0,2,4
7010102809,2012-13,218,218,6,6,6,6,1,1,1,1,0,0,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,7,2012,4,3,2,2,0,135596,0,714,0,0,0,5,3
7010103702,2012-13,0,221,0,6,0,6,1,1,1,1,0,0,,,0,,,,,,,,0,0,0,50,0,50,0,0,0,0,3,3,1,2,2,1,4,2012,4,3,2,2,0,140407,0,1035,0,0,0,35,201
7010103901,2012-13,0,221,0,6,0,6,1,1,1,1,0,0,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,4,2012,4,3,2,2,0,144320,0,704,0,0,0,2,2
7010104601,2012-13,0,220,0,6,0,6,1,1,1,1,0,0,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,5,2012,4,3,2,2,0,58632,629,0,0,0,0,2,10
7010105402,2012-13,0,219,0,6,0,6,1,2,0,0,0,0,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,4,2012,4,3,2,2,0,46910,0,325,0,0,0,6,8
7010105403,2012-13,220,220,6,6,6,6,1,1,1,1,0,0,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,4,2012,4,3,2,2,0,167829,625,439,0,0,0,2,11
7010106302,2012-13,216,220,6,6,6,6,1,1,1,1,0,0,,,0,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,7,2012,4,3,2,2,0,294580,1240,99,0,0,0,0,5
