SCHCD,Bldstatus,Clrooms,Clgood,Clmajor,ClMinor,OthGood,OthMajor,OthMinor,Toilet_C,Toiletb,Toilet_g,KITDEVGRANT_YN,MEALSINSCH,CAL_YN,HMRoom_YN,Electric_YN,Bndrywall,library_YN,PGround_YN,Blackboard,BookinLib,Water,MedChk_YN,Ramps_YN,Computer,Tch_Male,Tch_Female,Tch_NR,HeadTch,GradAbove,TchWithProf,DaysInvld,TchInvld
7010302111,1,13,13,0,0,3,0,0,0,5,6,0,0,1,1,1,1,1,1,12,7780,3,1,2,24,2,21,0,0,23,23,0,0
7010302112,1,8,8,0,0,2,0,0,2,1,1,0,0,2,1,1,1,1,2,11,882,3,2,2,4,0,9,0,1,9,9,0,0
7010302113,1,29,29,0,0,10,0,0,0,9,6,0,0,1,1,1,1,1,1,30,5310,4,1,2,50,0,33,0,0,33,33,0,0
7010302114,1,8,8,0,0,8,0,0,0,6,6,0,0,2,1,1,1,1,1,8,2550,3,2,2,0,1,8,0,0,9,9,0,0
7010302201,2,8,8,0,0,1,0,0,0,2,2,0,0,2,1,1,1,1,1,8,2800,3,1,1,2,1,9,0,1,10,10,0,0
7010302202,1,18,18,0,0,4,0,0,0,18,18,0,0,1,1,1,1,1,1,17,2608,3,1,1,20,6,28,0,0,33,34,1164,34
7010302203,1,17,17,0,0,4,0,0,0,8,16,0,0,1,1,1,1,1,1,20,14135,3,1,1,20,3,38,0,0,41,41,430,38
7010302204,1,37,37,0,0,30,0,0,0,47,48,0,0,2,1,1,1,2,2,37,0,3,2,2,0,1,96,0,2,97,97,0,0
7010302205,1,9,9,0,0,8,0,0,0,3,6,0,0,2,1,1,1,1,1,8,10018,3,1,2,14,3,20,0,0,23,23,0,0
7010302206,1,16,16,0,0,16,0,0,0,10,10,2,0,1,1,1,1,1,1,42,10598,3,1,1,35,2,53,0,0,55,55,0,0
7010302207,1,32,32,0,0,8,0,0,1,14,14,0,0,1,1,1,1,1,1,50,12884,3,1,2,23,5,44,0,0,46,49,1170,48
7010302208,1,56,56,0,0,34,0,0,0,24,24,0,0,1,1,1,1,1,1,12,19487,3,1,1,84,4,106,0,0,110,110,0,0
7010302209,1,26,26,0,0,13,0,0,0,0,35,0,0,1,1,1,1,1,1,36,13485,3,2,1,56,1,57,0,0,58,58,2900,58
7010302402,1,24,24,0,0,14,0,0,0,6,6,0,0,2,1,1,5,1,2,24,5950,4,1,2,23,2,27,0,1,29,29,0,0
7010302403,2,8,8,0,0,6,0,0,0,2,2,0,0,2,1,1,1,1,2,12,2995,4,1,2,4,0,10,0,1,9,10,0,0
7010302501,2,8,8,0,0,4,0,0,0,12,12,0,0,2,1,1,1,1,1,9,1750,3,1,1,0,2,8,0,1,10,10,0,0
7010302503,1,8,8,0,0,5,0,0,0,7,7,0,0,1,1,1,1,1,1,16,5900,3,1,1,20,2,11,0,0,13,13,0,0
7010302504,1,13,13,0,0,6,0,0,0,10,10,0,0,2,1,1,5,2,2,8,0,4,2,2,0,14,12,0,0,25,26,0,0
7010302505,1,8,8,0,0,17,0,0,0,5,6,0,0,1,1,1,1,1,1,8,3105,3,2,1,21,2,26,0,0,28,28,0,0
7010302506,1,43,43,0,0,12,0,0,0,44,29,0,0,1,1,1,1,1,1,76,14894,3,1,2,54,15,103,0,0,118,118,775,118
7010302507,2,12,12,0,0,15,0,0,2,4,4,0,0,1,1,1,1,1,1,25,8000,3,1,1,10,6,9,0,0,15,15,0,0
7010302508,1,17,17,0,0,3,0,0,0,6,6,0,0,1,1,1,1,1,1,25,325,3,1,2,18,3,17,0,0,15,20,0,0
7010302509,1,38,38,0,0,65,0,0,0,24,24,0,0,1,1,1,1,1,1,47,16287,3,2,2,146,4,115,0,0,119,119,0,0
7010302510,1,29,29,0,0,0,0,0,0,24,24,0,0,1,1,1,1,1,1,0,6808,4,1,2,84,5,55,0,2,60,60,0,0
7010302511,1,23,23,0,0,0,0,0,0,36,36,0,0,1,1,1,1,1,1,0,7082,3,1,2,52,3,16,0,0,19,19,0,0
7010302601,1,24,24,0,0,24,0,0,2,48,68,0,0,1,1,1,1,1,1,24,233596,3,2,1,70,12,51,0,1,62,63,0,0
7010302602,2,11,11,0,0,8,0,0,2,6,6,0,0,1,1,1,1,1,1,4,2260,3,1,2,5,0,9,0,0,9,9,0,0
7010302603,1,8,8,0,0,15,0,0,3,4,4,0,0,1,1,1,1,1,1,11,3324,3,1,1,15,1,16,0,0,16,17,0,0
7010302604,1,16,16,0,0,0,2,0,0,2,2,0,0,2,1,1,1,1,1,16,7031,3,2,2,9,0,12,0,1,12,12,0,0
7010302605,2,8,8,0,0,8,0,0,1,2,2,0,0,1,1,1,1,1,1,8,800,3,1,1,4,0,10,0,0,7,10,0,0
7010302606,1,33,33,0,0,64,0,0,0,71,71,0,0,1,1,1,1,1,1,32,9099,3,1,2,90,14,76,0,1,90,90,0,0
7010302701,2,8,8,0,0,12,0,0,0,6,6,0,0,1,1,1,1,1,1,16,6500,3,1,1,10,3,18,0,0,16,21,0,0
7010302702,2,8,8,0,0,12,0,0,0,2,2,0,0,2,1,1,1,2,2,8,0,3,2,2,0,4,9,0,1,11,13,0,0
7010302703,2,9,9,0,0,5,0,0,0,6,6,0,0,2,1,1,1,1,1,12,4110,3,1,1,4,3,12,0,0,12,15,310,15
7010106804,4,6,6,0,0,12,0,0,0,12,0,0,3,1,1,1,1,1,1,6,16110,3,1,1,10,27,0,0,0,27,27,540,9
7010106805,3,12,12,0,0,9,0,0,0,16,0,0,3,1,1,1,1,1,1,11,3000,3,1,2,2,24,2,0,0,26,26,380,4
7010106806,3,9,8,1,0,4,0,0,0,10,0,0,3,3,1,1,1,1,1,18,6400,3,1,1,0,21,1,0,0,21,22,204,17
7010106807,3,14,14,0,0,9,0,0,0,24,0,0,3,2,1,1,1,1,2,15,3025,3,2,2,0,35,4,0,0,38,39,57,12
7010107001,3,13,13,0,0,8,3,3,0,20,2,0,3,1,1,1,1,1,1,30,9000,3,2,1,8,29,5,0,0,34,34,0,0
7010107002,3,10,10,0,0,10,0,0,0,4,8,0,3,2,1,1,1,1,1,9,144,3,2,1,0,14,8,0,0,22,22,0,0
7010107101,4,17,17,0,0,11,0,0,0,8,13,0,3,1,1,1,1,1,1,17,8577,3,2,1,10,3,38,0,0,37,41,0,0
7010107102,3,6,6,0,0,34,0,0,0,10,11,0,3,1,1,1,1,1,1,6,4329,3,1,1,0,23,0,0,0,23,23,3893,17
7010107201,3,9,9,0,0,7,0,0,0,6,6,0,3,1,1,1,2,1,2,18,1860,3,2,1,3,35,0,0,0,35,35,0,0
7010107202,3,8,1,7,0,14,0,0,0,6,6,0,3,1,1,1,1,1,2,13,4385,3,1,1,12,0,29,0,0,29,29,35,7
7010107203,3,8,8,0,0,5,0,0,0,3,3,0,3,1,1,1,1,1,2,10,6533,3,2,1,0,0,33,0,0,33,33,80,26
7010107204,4,13,11,2,0,11,2,0,0,10,16,0,3,1,1,1,1,1,2,15,4410,3,2,1,0,1,56,0,0,53,57,0,0
7010107205,3,8,8,0,0,4,0,0,1,3,3,0,3,3,1,1,1,1,2,8,0,3,1,1,0,31,1,0,0,32,32,0,0
7010107206,3,10,10,0,0,16,2,0,0,10,16,0,3,1,1,1,1,2,1,25,3710,3,1,1,1,36,1,0,0,37,37,0,0
7010107207,4,19,14,5,0,13,0,0,0,21,29,0,3,1,1,1,1,1,1,20,6159,3,1,1,4,43,21,0,0,62,64,0,0
7010201301,1,16,16,0,0,13,0,0,0,16,0,0,3,3,1,1,1,1,1,16,4158,3,1,2,10,25,6,0,0,31,31,0,0
7010201302,1,32,32,0,0,7,0,0,0,0,17,0,3,1,1,1,1,1,1,29,8684,3,1,1,9,0,64,0,0,63,64,0,0
7010201701,1,9,9,0,0,9,0,3,0,1,0,0,3,2,1,1,1,1,1,20,9000,4,2,2,10,11,1,0,0,12,12,0,0
7010201801,1,8,0,8,0,2,0,5,0,2,0,0,3,2,1,1,2,1,1,2,4400,4,1,2,1,17,0,0,0,17,17,0,0
7010202601,1,7,6,1,0,10,0,0,0,3,0,0,3,1,1,1,1,1,1,18,10725,4,1,1,11,12,3,0,0,13,15,0,0
7010202801,1,3,0,3,0,5,0,0,0,1,1,0,3,2,1,1,1,1,2,7,3128,3,2,2,4,4,5,0,0,9,9,0,0
7010202902,1,3,3,0,0,12,0,0,2,1,1,0,3,2,1,1,1,1,1,4,522,3,1,1,0,16,0,0,0,16,16,105,13
7010204001,1,29,29,0,0,8,0,0,0,20,5,0,3,2,1,1,1,1,1,26,3840,4,2,2,1,27,20,0,0,47,47,0,0
