SCHCD,Rural_Urban,Medium_of_Instruction,Distance_BRC,Distance_CRC,Yeur_Estd,Pre_Pry_YN,Residential_Sch_YN,Sch_Management,Lowest_Class,Highest_Class,Sch_Category,Pre_Pry_Students,School_Type,Shift_School_YN,No_of_Working_Days,No_of_Acad_Inspection,Residential_Sch_Type,Pre_Pry_Teachers,Visits_by_BRC,Visits_by_CRC,School_Dev_Grant_Recd,School_Dev_Grant_Expnd,TLM_Grant_Recd,TLM_Grant_Expnd,Funds_from_students_Recd,Funds_from_students_Expnd
070507ND411,2,4,0,0,1962,2,2,3,1,12,3,0,3,2,0,0,2,0,0,5,12000,12000,20000,20,0,0
070507ND413,2,4,3,5,1972,1,2,3,0,5,1,75,3,2,0,0,2,2,0,5,5000,5000,5500,5500,0,0
070507ND504,2,4,4,4,1964,1,2,3,0,5,1,28,3,2,0,0,2,1,0,5,5000,5000,2500,2500,0,0
070507ND505,2,4,0,0,1974,2,2,3,1,5,1,0,3,2,0,0,2,0,0,5,5000,5000,4500,4500,0,0
070507ND508,2,19,10,5,1955,2,2,3,1,5,1,0,3,2,0,0,2,0,0,5,5000,5000,4000,4000,0,0
070507ND601,2,19,0,0,1982,2,2,3,1,12,3,0,3,2,0,0,2,0,0,5,12000,12000,15000,15000,0,0
070507ND602,2,4,7,1,1961,1,2,3,0,10,6,79,3,2,0,0,2,2,0,5,15000,15000,15000,15000,0,0
070507ND604,2,4,0,4,1980,1,2,3,0,8,2,47,3,2,0,0,5,2,0,5,12000,12000,12000,9500,0,0
070507ND605,2,4,6,2,1992,2,2,3,1,5,1,0,3,2,0,0,2,0,0,5,7500,7500,4500,4500,0,0
070507ND607,2,4,0,0,1956,2,2,3,1,10,6,0,3,2,0,0,2,0,0,5,17000,16996,19000,17000,0,0
070507ND608,2,4,6,1,1990,2,2,3,1,5,1,0,3,2,0,0,2,0,0,5,5000,5000,5000,5000,0,0
070507ND610,2,4,4,2,1987,2,2,3,1,5,1,0,3,2,0,0,2,0,0,5,5000,5000,7500,7500,0,0
070507ND611,2,4,0,0,1959,2,2,3,1,12,3,0,3,2,0,0,2,0,0,5,12000,12000,16500,11500,0,0
070507ND701,2,4,1,3,1975,2,2,3,1,10,6,0,3,2,0,0,2,0,0,5,12000,12000,9000,9000,0,0
070507ND702,2,4,1,1,1977,2,2,3,1,5,1,0,3,2,0,0,2,0,0,5,5000,5000,7000,7000,0,0
070507ND703,2,4,1,2,1973,2,2,3,1,5,1,0,3,2,0,0,2,0,0,5,5000,5000,5000,4000,0,0
070507ND704,2,4,0,2,1973,2,2,3,1,5,1,0,3,2,0,0,2,0,0,5,5000,5000,5500,5500,0,0
070507ND706,2,19,2,4,1973,2,2,3,1,12,3,0,3,2,0,0,2,0,0,5,12000,12000,13000,13000,0,0
070507ND708,2,4,5,2,1993,2,2,3,1,10,6,0,2,2,0,0,2,0,0,5,15000,15000,6000,6000,0,0
070507ND802,2,19,2,6,1970,2,2,3,1,8,2,0,3,2,0,0,5,0,0,5,12000,12000,5500,5500,0,0
070507ND804,2,4,3,2,1954,1,2,3,0,5,1,56,3,2,0,0,2,2,0,5,5000,5000,6500,6500,0,0
070507ND805,2,19,5,5,1986,2,2,3,1,12,3,0,3,2,0,0,2,0,0,5,12000,0,12000,0,0,0
070507ND806,2,4,8,6,1969,2,2,3,1,12,3,0,3,2,0,0,2,0,0,5,12000,12000,9000,9000,0,0
070507ND812,2,4,0,3,1958,1,2,3,0,12,3,29,3,2,0,0,2,1,0,5,12000,12000,17500,17500,0,0
070507ND901,2,4,2,1,1994,1,2,3,0,5,1,28,3,2,0,0,2,1,0,5,5000,5000,2500,2500,0,0
070507ND902,2,19,2,3,1999,1,2,3,0,12,3,35,3,2,0,0,2,1,0,5,12000,12000,14000,13000,0,0
070509ND101,2,19,4,5,1970,2,2,7,1,12,3,0,3,1,0,0,2,0,0,5,0,0,0,0,0,0
070509ND401,2,19,3,1,1971,2,2,7,1,12,3,0,3,2,0,0,2,0,0,5,0,0,0,0,0,0
070509ND402,2,19,5,5,1983,2,2,7,1,12,3,0,3,1,0,0,2,0,0,5,0,0,0,0,0,0
070511ND101,2,19,4,1,1952,2,2,4,1,5,1,0,3,2,0,0,2,0,0,5,0,0,3000,3000,0,0
070511ND301,2,19,4,1,1936,2,2,4,1,5,1,0,2,2,0,0,2,0,0,5,0,0,4000,4000,0,0
070511ND401,2,4,5,3,1960,2,2,4,1,5,1,0,3,2,0,0,2,0,0,5,0,0,6000,6000,0,0
070512ND201,2,19,0,5,1961,1,2,5,0,5,1,443,3,2,0,0,2,19,0,5,0,0,0,0,0,0
070512ND202,2,19,5,6,1938,2,2,5,1,5,1,0,3,2,0,0,2,0,0,5,0,0,0,0,0,0
070512ND301,2,4,0,0,1980,2,2,5,1,5,1,0,3,2,0,0,2,0,0,5,0,0,0,0,0,0
070512ND601,2,19,3,3,1995,2,2,5,0,5,1,129,3,2,0,0,2,4,0,5,0,0,0,0,0,0
7060107901,2,18,3,3,1977,2,2,1,6,12,5,0,2,2,0,0,2,0,0,5,7000,7000,5500,5500,0,0
7060107902,2,4,4,3,1945,1,2,1,0,12,3,40,2,2,0,0,2,1,0,5,12000,12000,9000,9000,0,0
7060107903,2,4,2,2,1960,2,2,1,6,12,5,0,2,2,0,0,2,0,0,5,7000,7000,7000,7000,0,0
7060107904,2,18,4,2,1945,1,2,1,0,12,3,56,2,2,0,0,2,2,0,5,15000,15000,12000,12000,0,0
7060107906,2,4,1,1,1979,2,2,1,6,10,7,0,1,2,0,0,2,0,0,5,7000,7000,6000,6000,0,0
7060107907,2,4,1,1,1976,1,2,1,0,12,3,61,3,2,0,0,2,2,0,5,12000,12000,10000,10000,0,0
7060107908,2,18,4,4,1980,2,2,1,1,12,3,0,1,2,0,0,2,0,0,5,15000,15000,10000,10000,0,0
7060108001,2,4,1,1,1955,2,2,1,6,12,5,0,2,2,0,0,2,0,0,5,7000,7000,5500,5500,0,0
7060108101,2,18,1,2,1970,1,2,1,0,10,6,20,3,2,0,0,2,0,0,5,7000,7000,6500,6500,0,0
7060108102,2,4,3,0,1956,1,2,1,0,12,3,65,3,2,0,0,2,2,0,5,12000,12000,12500,12500,0,0
7060108103,2,4,2,1,1964,1,2,1,0,12,3,31,3,2,0,0,2,0,0,5,12000,12000,9500,9500,0,0
7060108104,2,4,3,0,1956,2,2,1,6,12,5,0,1,2,0,0,2,0,0,5,7000,7000,6500,6500,0,0
7060108105,2,4,3,2,1964,2,2,1,6,12,5,0,1,2,0,0,2,0,0,5,7000,7000,5500,5500,0,0
7060108106,2,19,5,3,1954,1,2,1,0,12,3,14,3,2,0,0,2,0,0,5,12000,12000,12000,12000,0,0
7060108201,2,18,3,3,1989,2,2,1,6,8,4,0,1,2,0,0,5,0,0,5,7000,7000,2500,2500,0,0
7060108301,2,18,1,1,1980,2,2,1,6,8,4,0,2,2,0,0,5,0,0,5,7500,7500,4000,4000,0,0
7060108401,2,18,1,2,1925,1,2,1,0,12,3,60,3,2,0,0,2,2,0,5,12000,12000,11000,11000,0,0
7060108601,2,18,3,3,1991,2,2,1,6,8,4,0,2,2,0,0,5,0,0,5,7000,7000,4000,4000,0,0
7060108602,2,18,2,1,1957,2,2,1,6,12,5,0,2,2,0,0,2,0,0,5,7000,7000,2500,2500,0,0
7060108603,2,18,2,1,1974,2,2,1,6,10,7,0,2,2,0,0,2,0,0,5,7000,5000,3000,3000,0,0
7060108604,2,18,3,3,1900,1,2,1,0,12,3,39,2,2,0,0,2,1,0,5,12000,12000,11000,11000,0,0
7060108701,2,19,1,1,1958,1,2,1,0,12,3,12,3,2,0,0,2,1,0,5,12000,12000,9000,9000,0,0
