SCHCD,Tch_Male,Tch_Female,Tch_NR,HeadTch,GradAbove,TchWithProf,DaysInvld,TchInvld
7010305504,0,8,0,1,8,8,0,0
7010305505,2,26,0,0,24,28,41,13
7010305601,10,69,0,1,79,79,1760,79
7010305602,0,11,0,1,11,11,96,11
7010305603,6,71,0,1,77,77,0,0
7010305604,6,85,0,0,88,91,1429,91
7010305605,2,27,0,0,28,29,0,0
7010305606,4,36,0,0,40,40,0,0
7010305607,16,133,0,0,146,149,3259,149
7010305901,0,4,0,1,4,4,0,0
7010305902,0,8,0,1,8,8,0,0
7010305903,1,7,0,1,8,8,0,0
7010305904,0,8,0,1,8,8,92,8
7010306001,12,150,0,2,161,162,0,0
7010306002,2,12,0,0,14,14,0,0
7010306003,13,137,0,0,139,150,5,1
7010306005,7,39,0,1,45,46,0,0
7010306006,4,23,0,0,26,27,0,0
7010306007,5,47,0,2,50,52,590,52
7010306008,1,15,0,0,16,16,236,16
7010306009,2,12,0,0,13,14,207,1
7010306010,0,23,0,0,23,23,0,0
7010306011,8,70,0,0,77,78,0,0
7010306012,2,23,0,0,25,25,2,1
7010306101,0,4,0,1,4,4,0,0
7010306103,1,11,0,1,12,12,0,0
7010306104,0,12,0,1,12,12,0,0
7010306105,2,12,0,1,14,14,0,0
7010306501,8,91,0,2,99,99,0,0
7010306502,8,71,0,0,78,79,0,0
7010306601,1,7,0,1,8,8,0,0
7010306602,6,71,0,1,75,77,0,0
7010306701,3,77,0,0,80,80,0,0
7010306702,0,10,0,0,10,10,22,1
7010306703,1,13,0,0,13,14,0,0
7010306801,2,15,0,0,17,17,0,0
7010306802,4,19,0,0,22,23,28,22
7010306803,0,24,0,0,23,24,622,23
7010306804,15,228,0,2,238,243,0,0
7010306805,1,37,0,0,38,38,25,1
7010306806,14,76,0,0,80,90,0,0
7010307001,11,109,0,2,118,120,0,0
7010307002,0,2,0,1,2,2,0,0
7010307101,7,49,0,0,53,56,0,0
7010307201,1,3,0,0,4,4,0,0
7010307202,4,76,0,0,78,80,0,0
7010307203,7,28,0,0,35,35,528,35
7010307204,6,42,0,0,47,48,0,0
7010307205,2,32,0,0,34,34,220,1
7010307206,10,21,0,0,31,31,0,0
7010307207,17,73,0,1,81,90,0,0
7010307208,0,11,0,1,10,11,0,0
7010307209,3,21,0,1,22,24,0,0
7010307210,0,9,0,1,9,9,15,1
7010310001,3,28,0,1,29,31,0,0
7010400101,6,13,0,1,18,19,0,0
7010400102,7,18,0,1,23,25,5,1
7010400103,12,2,0,1,14,14,0,0
7010400104,4,10,0,1,14,14,15,1
7010400105,4,4,0,1,8,8,5,1
7010400106,2,3,0,1,4,5,0,0
7010400107,0,15,0,1,11,15,0,0
7010400108,3,3,0,1,6,6,0,0
7010400109,0,6,0,1,3,6,0,0
7010400110,5,0,0,1,5,5,0,0
7010400111,0,7,0,1,6,7,0,0
7010400112,7,5,0,1,9,12,150,6
7010400113,0,15,0,1,10,15,0,0
7010400114,7,0,0,1,6,7,15,1
7010400115,0,11,0,1,10,11,0,0
7010400116,4,2,0,1,4,6,0,0
7010400117,0,8,0,1,7,8,0,0
7010400118,5,12,0,1,8,17,0,0
7010400119,0,20,0,1,16,20,0,0
7010400201,1,13,0,1,12,14,0,0
7010400202,4,1,0,1,4,5,0,0
7010400203,6,5,0,1,7,11,230,9
7010400204,0,10,0,1,8,10,0,0
7010400205,2,5,0,1,7,7,15,1
7010400206,1,16,0,1,16,17,0,0
7010400207,5,12,0,1,15,17,0,0
7010400208,6,8,0,1,7,14,0,0
7010400209,2,11,0,1,11,13,0,0
7010400301,15,0,0,0,5,15,0,0
7010400302,10,1,0,1,11,11,0,0
7010400303,4,4,0,0,6,8,0,0
7010400304,15,0,0,0,9,15,24,8
7010400305,0,11,0,1,11,11,0,0
7010400306,0,5,0,1,5,5,0,0
7010400307,5,0,0,1,3,5,0,0
7010400308,12,0,0,1,8,12,166,5
7010400309,4,10,0,1,13,14,0,0
7010400310,12,8,0,1,20,20,0,0
7010400311,12,0,0,1,7,12,0,0
7010400312,4,12,0,1,11,16,0,0
7010400313,1,4,0,1,5,5,0,0
7010400314,0,4,0,1,4,4,0,0
7010400315,3,0,0,1,0,3,0,0
7010400316,3,2,0,1,5,5,0,0
7010400317,0,13,0,1,11,13,7,1
7010400318,8,3,0,1,10,11,0,0
7010400319,6,8,0,1,7,14,0,0
7010400320,2,15,0,1,15,17,15,1
7010400321,0,13,0,1,13,13,0,0
7010400322,12,5,0,1,12,17,0,0
7010400401,12,4,0,1,10,16,0,0
7010400402,7,8,0,1,15,15,0,0
7010400403,10,12,0,1,18,22,0,0
7010400404,0,8,0,1,7,8,0,0
7010400405,5,2,0,1,3,7,0,0
7010400406,0,2,0,1,1,2,0,0
7010400407,1,1,0,1,2,2,0,0
7010400408,2,1,0,1,2,3,0,0
7010400409,5,0,0,1,5,5,2,1
7010400410,6,6,0,1,11,12,0,0
7010400411,1,3,0,1,3,4,0,0
7010400412,5,0,0,1,4,5,0,0
7010400413,10,1,0,1,9,11,0,0
7010400414,3,1,0,1,3,4,12,4
7010400415,2,1,0,1,3,3,0,0
7010400416,1,2,0,1,3,3,0,0
7010400417,3,1,0,1,4,4,0,0
7010400418,1,6,0,1,5,7,0,0
7010400419,2,4,0,1,4,6,0,0
7010400420,3,0,0,1,2,3,0,0
7010400421,3,4,0,1,6,7,0,0
7010400501,3,10,0,1,11,13,0,0
7010400502,5,3,0,1,6,8,0,0
7010400503,7,3,0,1,9,10,0,0
7010400504,0,20,0,1,19,20,0,0
7010400505,12,7,0,1,10,19,0,0
7010400506,0,15,0,1,12,15,0,0
7010400507,11,0,0,1,6,11,0,0
7010400508,1,5,0,1,5,6,0,0
7010400509,5,1,0,0,5,6,0,0
7010400510,0,24,0,1,19,24,0,0
7010400701,4,1,0,1,4,5,0,0
7010400702,3,3,0,1,3,6,0,0
7010401101,2,17,0,1,19,19,0,0
7010401102,0,10,0,1,10,10,0,0
7010401103,1,11,0,1,11,12,15,1
7010401104,0,5,0,1,5,5,0,0
7010401201,0,5,0,1,4,5,0,0
7010401202,2,4,0,1,6,6,0,0
7010401203,1,4,0,1,4,5,0,0
7010401204,0,5,0,1,5,5,0,0
7010401205,5,0,0,1,5,5,0,0
7010401206,0,5,0,1,5,5,0,0
7010401207,1,3,0,1,3,4,0,0
7010401208,1,10,0,1,9,11,0,0
7010401209,0,11,0,1,11,11,0,0
7010401301,2,4,0,1,5,6,0,0
7010401302,2,9,0,1,11,11,0,0
7010401303,6,0,0,1,6,6,0,0
7010401304,8,12,0,1,20,20,0,0
7010401305,2,15,0,1,16,17,0,0
7010401306,2,3,0,1,5,5,16,4
7010401307,6,13,0,1,17,19,0,0
7010401401,15,10,0,1,11,25,0,0
7010401402,0,9,0,1,9,9,0,0
7010401403,4,5,0,1,9,9,0,0
7010401404,1,33,0,1,23,34,0,0
7010401405,11,13,0,1,14,24,0,0
7010401406,0,5,0,1,4,5,0,0
7010401407,0,5,0,1,5,5,0,0
7010401408,7,2,0,1,9,9,0,0
7010401501,4,14,0,1,15,18,0,0
7010401502,0,16,0,1,12,16,0,0
7010401503,6,9,0,1,9,15,0,0
7010401504,1,2,0,1,3,3,0,0
7010401601,11,3,0,1,14,14,0,0
7010401602,0,9,0,1,8,9,20,2
7010401603,3,3,0,1,6,6,0,0
7010401604,1,27,0,0,20,28,15,1
7010401605,9,7,0,1,12,16,0,0
7010401606,0,9,0,1,7,9,0,0
7010401607,7,2,0,1,8,9,0,0
7010401608,0,13,0,0,10,13,0,0
7010401701,0,16,0,1,15,16,0,0
7010401702,3,10,0,1,10,13,0,0
7010401703,4,18,0,1,12,22,0,0
7010401704,8,5,0,1,6,13,0,0
7010401705,0,15,0,1,12,15,16,1
7010401706,6,5,0,1,3,11,0,0
7010401801,3,27,0,1,12,30,0,0
